ticker,Ratio Cedear,Valor sub-yacente
MMM,5,1
ABT,4,1
ABBV,10,1
ANF,1,1
ADGO,1,2
ADS,22,1
ADBE,22,1
AMD,10,1
AEG,1,1
AEM,3,1
BABA,9,1
GOOGL,58,1
MO,4,1
ACHHY,1,1
AMZN,144,1
ABEV,1,3
AMX,1,1
AAL,2,1
AXP,15,1
AIG,5,1
AMGN,10,1
ADI,15,1
AAPL,10,1
AMAT,5,1
ARCO,1,2
AZN,2,1
T,3,1
ADP,6,1
AVY,18,1
CAR,26,1
BIDU,11,1
BBVA,1,1
BBD,1,1
BSBR,1,1
SAN,1,4
BAC,2,1
BK,2,1
BCS,1,1
GOLD,1,1
BAS,2,1
BAYN,3,1
BRKB,22,1
BHP,2,1
BIOX,1,2
BIIB,13,1
BB,3,1
BA,6,1
BP,5,1
BRFS,1,3
BMY,3,1
AVGO,39,1
BNG,5,1
CAH,3,1
CAT,20,1
CX,1,1
EBR,1,4
CVX,8,1
CBD,1,1
ELP,1,3
SBS,1,2
SID,1,8
CSCO,5,1
C,3,1
KO,5,1
KOFM,2,1
CDE,1,1
COIN,27,1
CL,3,1
GLW,4,1
CAAP,1,4
COST,48,1
BSN,20,1
DE,40,1
DESP,1,1
DTEA,3,1
DEO,6,1
DOCU,22,1
DOW,6,1
DD,5,1
EOAN,6,1
EBAY,2,1
EA,14,1
LLY,8,1
AKO.B,1,1
ERJ,1,1
E,4,1
EFX,16,1
ERIC,2,1
ETSY,16,1
XOM,5,1
FNMA,1,1
FDX,10,1
FSLR,3,1
FMX,6,1
FMCC,1,1
FCX,3,1
GRMN,3,1
OGZD,2,1
GE,8,1
GM,6,1
GPRK,1,1
GGB,1,4
GILD,4,1
GLOB,18,1
GFI,1,1
GS,13,1
PAC,16,1
ASR,20,1
TV,3,1
GSK,4,1
HAL,2,1
HOG,3,1
HMY,1,1
HDB,2,1
HL,1,1
HSY,21,1
HD,32,1
HHPD LI,2,1
HMC,1,1
HON,8,1
HWM,1,1
HPQ,1,1
HSBC,2,1
HNPIY,1,1
IBN,1,1
INFY,1,1
ING,3,1
INTC,5,1
IP,4,1
IBM,5,1
IFF,12,1
ITUB,1,1
JD,2,1
JNJ,15,1
JCI,2,1
YY,5,1
JPM,5,1
KB,2,1
KMB,6,1
KGC,1,1
PHG,5,1
KEP,1,1
LRCX,56,1
LVS,2,1
LYG,2,1
LMT,20,1
LKOD,4,1
MMC,16,1
MA,33,1
MCD,24,1
MDT,4,1
MELI,60,1
MBG,4,1
MRK,5,1
META,24,1
MSFT,30,1
MUFG,1,1
MFG,1,1
MBT,2,1
MSI,20,1
NGG,2,1
NTCO,1,1
NEC1,1,3
NTES,14,1
NFLX,16,1
NEM,3,1
NKE,12,1
NIO,4,1
NSAN,1,1
NOKA,1,1
NMR,1,1
NG,1,4
NVS,4,1
NLM,2,1
NUE,16,1
NVDA,24,1
ORCL,3,1
ORAN,1,1
PCAR,3,1
PAAS,3,1
PCRF,2,1
PYPL,8,1
PSO,1,1
PEP,6,1
PTRCY,4,1
PBR,1,1
PFE,2,1
PSX,6,1
PBI,1,1
PKS,3,1
PG,5,1
QCOM,11,1
RTX,5,1
RIO,4,1
ROST,4,1
SHEL,2,1
CRM,18,1
SMSN,14,1
SAP,6,1
SLB,3,1
SE,32,1
SHOP,107,1
SIEGY,3,1
SNAP,1,1
SNA,6,1
SNOW,30,1
SONY,4,1
SCCO,2,1
SPOT,28,1
SQ,20,1
SPGI,45,1
SBUX,4,1
SUZ,1,1
SYY,8,1
TSM,9,1
TGT,24,1
TTM,1,1
ATAD,4,1
TIIAY,1,1
VIV,1,1
TEFO,8,1
TEN,1,1
TXR,2,1
TSLA,15,1
TXN,5,1
TMO,22,1
TSU,1,1
TTE,3,1
TM,5,1
TRV,6,1
TCOM,2,1
TRIP,2,1
TWLO,36,1
UGP,1,1
UL,3,1
UNP,20,1
X,3,1
UNH,33,1
URBN,2,1
USB,5,1
VALE,2,1
VRSN,6,1
VZ,2,1
V,18,1
VIST,1,1
VOD,1,1
WBA,3,1
WMT,6,1
DIS,12,1
WBO,6,1
WFC,5,1
XRX,1,1
XP,4,1
YZCA,2,1
YELP,2,1
ZM,47,1
